id,username,post,ticker
350,Anton Palyhc,"Anton Palyhc, шортить надо было вчера вечером. сейчас крокодиловский фьюч на ема лежит. может пипирку быстро шортилам оторвать. ситуация нео...Константин, ни когда не знаешь где найдешь как говориться, а на счёт оторвать конечно это запросто",SBER
351,не бык,"не бык, давай не будем горячится с выводами, месяц согласись это ведь не срок!? Были и те кто верещали про сбер как нечто перекупленное когд...Созерцатель,Согласен!Но Индия, нам валюты не даст, а мы, туда вливаем!Я в шорте, а как карта ляжет-взглянем!",SBER
352,Созерцатель,"Созерцатель,Здесь все покупки давно обесцениваются! Доллар и евро больше 11% за месяц, а сбер все «около» -уровни облизывает!не бык, давай не будем горячится с выводами, месяц согласись это ведь не срок!? Были и те кто верещали про сбер как нечто перекупленное когда он на 140-145 болтался, но вышло как видим. Ну да не заработали те кто только в сбере были, возят их деньги на лифте бьют в узком боковике, но и те кто в долларах сидят тоже сильно не обогатились, цены-то в рублях выросли на товары, не стал бы этому сильно радоваться(тратить-то в рублях)",SBER
353,Raduga8,"Raduga8, нет — не согласен!Положи жалование в 10 рублей, НО царским *червонцем*На меньшее — не согласен!Chef, та мну и так устраиваит, мну и бисплатна переводют)… асталси биз жалаванья, сам винават)…",SBER
354,игорь баженов,Флот за день закрыл дивгэп...,SBER
355,не бык,"время покупок, хороший отсткок по некоторым акциям)Созерцатель,Здесь все покупки давно обесцениваются! Доллар и евро больше 11% за месяц, а сбер все «около» -уровни облизывает!",SBER
356,Созерцатель,"время покупок, хороший отсткок по некоторым акциям)",SBER
357,Константин,"Дмитрий Шабалов, оптимистично 23850 к концу дня, ну посмотрим если дойдем подписка с меняAnton Palyhc, шортить надо было вчера вечером. сейчас крокодиловский фьюч на ема лежит. может пипирку быстро шортилам оторвать. ситуация неоднозначна.",SBER
358,Anton Palyhc,"#SBRF- 9.23, Фьючерсный контракт#SBRF- 9.23, Фьючерсный контрактТип сделки: sell limitАвто-репост. Читать в блоге >>>Дмитрий Шабалов, оптимистично 23850 к концу дня, ну посмотрим если дойдем подписка с меня",SBER
359,Дмитрий Шабалов,"#SBRF- 9.23, Фьючерсный контракт#SBRF- 9.23, Фьючерсный контрактТип сделки: sell limitАвто-репост. Читать в блоге>>>",SBER
360,не бык,"Всё по плану большинства вчера говоривших о однозначном росте сегодня, без рынка америкосов.Gorik,Показать портфелиИм слабо!?",SBER
361,не бык,"ну чо, решили сломать индексу кабину?отрезвление идет?)Константин,НАДО!",SBER
362,Gorik,"Всё по плану большинства вчера говоривших о однозначном росте сегодня, без рынка америкосов.",SBER
363,Алексей Мамаев,когда дивы?),SBER
364,Константин,"ну чо, решили сломать индексу кабину?отрезвление идет?)",SBER
365,Константин,"Константин, выход один, торгуй без стопов, тем более если у монитора весь деньAnton Palyhc, именно так и делаю всегда, когда есть возможность.тьфу-тьфу НИ разу не вые… когда был у монитора.",SBER
366,Дюша Метелкин,"всё это крах. льём все в адЧингачгук (Великий Змей), а ты азартный, Парамоша…",SBER
367,Чингачгук (Великий Змей),всё это крах. льём все в ад,SBER
368,Anton Palyhc,"Anton Palyhc, ну типо, как ставить стопы в нелеквиде (яндекс, тинька сегодня… хотя и не такие уж они неликвидные...), если их чпокают одной ...Константин, выход один, торгуй без стопов, тем более если у монитора весь день",SBER
369,не бык,"Константин, тут или иранский сценарий или сбер по 80, другого не даноAnton Palyhc,Вариант с Теслой!Только там покупатели и Маск самый богатый....А здесь.....Долгов под тридцать триллионов!",SBER
370,Chef,"Chef, атлична, буш маим пиривотчиком… назначаю царский жалаванье 2 рупь в ниделю…Raduga8, нет — не согласен!Положи жалование в 10 рублей, НО царским *червонцем*На меньшее — не согласен!",SBER
371,Константин,бабки с фонды опять на валюту вынули),SBER
372,Константин,"Константин, тут или иранский сценарий или сбер по 80, другого не даноAnton Palyhc, ну типо, как ставить стопы в нелеквиде (яндекс, тинька сегодня… хотя и не такие уж они неликвидные...), если их чпокают одной соплей сразу до поддержки с утра без новостного фона…",SBER
373,Константин,"Константин, голосовать надо было раньшев 2000✔ ⓈⒺⓇⒼⒾⓄ:Ⓩ, я был маленький еще в этом году)",SBER
374,Anton Palyhc,"Anton Palyhc, я чет в голос с нашего рынка с такими проливами...Константин, тут или иранский сценарий или сбер по 80, другого не дано",SBER
